rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook
601-800,Saitama UniversityJapan,7469,11.7,2%,33 : 67,-,18.6,9.6,23.4,29.6,20.6
601-800,University of SalfordUnited Kingdom,16152,17,25%,51 : 49,-,20.8,12.1,21.2,28.8,66.4
601-800,"University of Santiago, Chile (USACH)Chile",22739,23.6,1%,39 : 61,-,17.6,11.3,10.2,31,40.4
601-800,São Paulo State University (UNESP)Brazil,50594,13,5%,52 : 48,-,28,22.6,6.7,40.1,18.7
601-800,Savitribai Phule Pune UniversityIndia,4858,14.6,3%,25 : 75,-,38.3,12.4,11.4,29.3,17.3
601-800,University of Science and Technology BeijingChina,22780,15.1,4%,36 : 64,-,25.1,22.4,6.9,89.7,15.6
601-800,Sejong UniversitySouth Korea,11704,15.5,3%,43 : 57,-,18.9,12.2,38.7,35.4,25.2
601-800,University of SeoulSouth Korea,10243,19,3%,36 : 64,-,22.8,17.5,21.4,28.9,18.7
601-800,Shahid Beheshti UniversityIran,17800,24.9,1%,52 : 48,-,20.5,19,11.4,58.9,13.8
601-800,Shanghai UniversityChina,46044,17.5,3%,48 : 52,-,19.1,16.1,14.8,45.7,15.8
601-800,Shantou UniversityChinaExplore,9593,13.5,n/a,48 : 52,-,17.6,9.1,28.3,30.7,30.7
601-800,Sheffield Hallam UniversityUnited Kingdom,27477,18.8,15%,53 : 47,-,17.3,9.4,20.1,28.6,47
601-800,Shinshu UniversityJapanExplore,11232,9.6,3%,n/a,-,20.8,8.3,22,31.6,20.3
601-800,Showa UniversityJapan,3675,2.5,n/a,57 : 43,-,28.5,7.9,7,-,14
601-800,Sichuan UniversityChina,65035,14.5,2%,48 : 52,-,25,18.4,16.1,90.8,15.7
601-800,University of Silesia in KatowicePoland,32764,17.3,1%,65 : 35,-,17.7,8,20.4,28.1,18.5
601-800,Slovak University of Technology in BratislavaSlovakia,16400,15.3,2%,31 : 69,-,23.3,8.6,24.9,33.2,30.6
601-800,Sogang UniversitySouth Korea,10625,24.1,7%,43 : 57,-,21.5,24.8,20.5,46.8,27.7
601-800,Sophia UniversityJapan,12799,24.3,8%,53 : 47,-,22,9.4,5.3,29.5,32.8
601-800,University of South AfricaSouth Africa,197102,108.5,9%,65 : 35,-,18.4,11.3,9.4,28.8,28.7
601-800,Southern Federal UniversityRussian Federation,27556,9,3%,56 : 44,-,21.9,8.2,9.2,39.5,17.3
601-800,University of Southern MississippiUnited States,14569,18.5,3%,63 : 37,-,21,11.8,20.1,39.9,20.8
601-800,University of Southern QueenslandAustraliaExplore,13761,29.2,21%,55 : 45,-,18.4,13.1,14.4,28.8,63
601-800,Suez Canal UniversityEgypt,16817,6,n/a,65 : 35,-,22.6,5.9,16,-,31.6
601-800,Sultan Qaboos UniversityOman,7089,9,3%,50 : 50,-,21.3,10.6,16,37.6,71.5
601-800,Suranaree University of TechnologyThailand,12650,32.9,1%,50 : 50,-,21.1,11.6,18.4,38.1,25.9
601-800,University of SzegedHungary,22684,13.8,9%,58 : 42,-,20,10.5,20.5,33.2,46.9
601-800,Taipei Medical UniversityTaiwanExplore,6001,11.1,6%,58 : 42,-,25.7,21.7,19,42.2,26.5
601-800,Taras Shevchenko National University of KyivUkraine,22686,8.2,2%,45 : 55,-,27.9,11,4.2,28,28.2
601-800,Technical University of MadridSpain,41500,13.8,11%,32 : 68,-,21.8,14.6,24.5,38.3,39.5
601-800,University of Texas at El PasoUnited States,19123,29,7%,54 : 46,-,18.6,18.7,18.4,-,30.4
601-800,Texas Tech UniversityUnited States,29512,20.9,7%,46 : 54,-,27.9,17.2,22,-,36.8
601-800,Tokai UniversityJapan,29700,12.7,1%,27 : 73,-,17.9,7.6,15.3,34.4,19.3
601-800,Tokushima UniversityJapan,7519,8.9,3%,34 : 66,-,25.3,21.6,12.8,59.6,16.8
601-800,Tokyo University of Marine Science and TechnologyJapan,2597,11.1,7%,34 : 66,-,27.9,12.4,7.7,57.9,24.5
601-800,Tokyo University of ScienceJapan,20243,25.7,2%,20 : 80,-,23,24.1,21.4,37.6,15.4
601-800,Tomsk State UniversityRussian Federation,10413,9.9,12%,60 : 40,-,34.8,20.8,7.6,44,36.9
601-800,Tottori UniversityJapan,6248,8.2,2%,34 : 66,-,24.3,10.1,9.6,34.5,16.7
601-800,Toyohashi University of Technology (TUT)Japan,2153,9.3,9%,9 : 91,-,22,18.9,15.8,50.3,25.4
601-800,Universiti Kebangsaan MalaysiaMalaysia,24227,11.8,12%,62 : 38,-,24.3,15.9,10.9,28.4,29.7
601-800,Universiti Putra MalaysiaMalaysia,23883,12.2,15%,63 : 37,-,25.3,20.9,10.2,34.2,50.1
601-800,Universiti Sains MalaysiaMalaysia,28179,14.8,10%,61 : 39,-,26.9,16.6,12.4,34.4,44.2
601-800,Universiti Teknologi MARAMalaysia,69268,16.8,n/a,65 : 35,-,15.2,7.7,18.2,28.3,14.8
601-800,Ural Federal UniversityRussian Federation,28427,10.1,3%,48 : 52,-,24.8,10.6,16.8,35.6,17.3
601-800,V.N. Karazin Kharkiv National UniversityUkraine,14410,9.7,22%,53 : 47,-,21.7,8.9,1.7,28.8,48.4
601-800,University of VigoSpain,22793,19,3%,51 : 49,-,18.4,10.5,31.8,38.1,30.7
601-800,Vilnius UniversityLithuania,19019,14.2,4%,65 : 35,-,18.3,13.6,26.1,41,40.8
601-800,Warsaw University of TechnologyPoland,34572,14.5,3%,34 : 66,-,19.4,8.5,40.3,47.4,20.7
601-800,Waseda UniversityJapan,52316,16.9,8%,35 : 65,-,23.6,14.6,29.4,32.4,29.7
601-800,University of West BohemiaCzech Republic,15639,21.5,2%,52 : 48,-,16.3,9.7,29.8,32.1,23.1
601-800,University of the West of EnglandUnited Kingdom,22525,21.4,15%,53 : 47,-,16.9,11.2,34.6,28.5,48.5
601-800,West University of TimişoaraRomania,12933,19,2%,62 : 38,-,16.1,3.9,22.4,-,21
601-800,University of WestminsterUnited Kingdom,16609,21,43%,57 : 43,-,17.3,11.7,21.1,28.5,81.9
601-800,Xidian UniversityChina,31618,16.4,2%,29 : 71,-,17.9,12.1,8.9,83.7,12.8
601-800,Yeungnam UniversitySouth Korea,21958,15.3,3%,48 : 52,-,18.6,10.9,26.5,35.4,24.3
601-800,Yıldız Technical UniversityTurkey,31268,28.7,2%,36 : 64,-,14.5,7.6,19.3,44,14.9
601-800,Yokohama City UniversityJapan,4122,3.7,3%,n/a,-,24,10.2,36.4,37.9,16.1
601-800,Yokohama National UniversityJapan,10117,12.1,7%,28 : 72,-,20.1,16,13.5,40.4,23.3
601-800,Yuan Ze UniversityTaiwan,8663,20.6,4%,43 : 57,-,16.2,18.3,28.6,39.8,17.7
