
251-300,King Abdulaziz UniversitySaudi Arabia,-,23.9,11.8,76.6,73.1,93
251-300,Koç UniversityTurkey,-,21.2,27.1,74.9,82.4,53.5
251-300,Korea UniversitySouth Korea,-,43.9,43.4,41.8,99.8,40.2
251-300,University of LiègeBelgium,-,29.1,36.6,46.5,98.9,69.7
251-300,Linköping UniversitySweden,-,24.2,18.9,76.8,42.1,57.7
251-300,Nanjing UniversityChina,-,37.2,32.2,54.2,58.6,50.4
251-300,National Tsing Hua UniversityTaiwan,-,37.7,36.6,53,49.5,23.2
251-300,"National University of Ireland, GalwayIreland",-,27.3,25.4,68.5,41.9,76.5
251-300,University of NewcastleAustralia,-,27.4,26.5,67.2,64.4,75.9
251-300,North Carolina State UniversityUnited States,-,36.1,30.5,60,40.7,49
251-300,National Research Nuclear University MEPhIRussian Federation,-,44.9,27.8,52.8,99.8,27.5
251-300,Oregon State UniversityUnited States,-,30.6,28.5,63.8,32.1,42.8
251-300,Osaka UniversityJapan,-,46.8,45.2,37.4,76.1,26.6
251-300,Queen’s UniversityCanada,-,35.8,35.8,54.4,54.2,61.6
251-300,Technion Israel Institute of TechnologyIsrael,-,33,36.1,52.1,38.9,61.9
251-300,Queensland University of TechnologyAustralia,-,28.8,35.6,56,73.7,76
251-300,Rensselaer Polytechnic InstituteUnited States,-,30.4,31.5,65.1,79.6,40.3
251-300,Royal College of Surgeons in IrelandIreland,-,29.9,20.1,65.3,33.9,90.1
251-300,Ruhr University BochumGermany,-,32.8,30,54.4,66.6,51.7
251-300,Saint Louis UniversityUnited States,-,36.9,10.9,85,29.9,26.6
251-300,Paris-Sorbonne University – Paris 4France,-,61,55.8,7.1,28.5,44.2
251-300,Simon Fraser UniversityCanada,-,23.2,29.2,72.8,42.3,61.4
251-300,University of SurreyUnited Kingdom,-,31.7,28.9,51.2,34.9,90.4
251-300,Syracuse UniversityUnited States,-,31.4,20.8,77.1,36.3,38.3
251-300,University of TasmaniaAustralia,-,21.8,25.7,68,42.7,79.1
251-300,"University of Tennessee, KnoxvilleUnited States",-,29.5,23.2,81.4,41.3,39.3
251-300,Tomsk Polytechnic UniversityRussian Federation,-,31.6,15.1,82.4,60.2,32.7
251-300,Tulane UniversityUnited States,-,39.1,19.3,67.8,32.4,35.3
