rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size,country,continent,english_spoken,size_int,country_int,continent_int
156,University of Cologne,43280,43.4,0.11,60,52.3,42.2,38.0,75.0,68.5,53.1,large,Germany,Europe,0.0,2.0,118.0,2.0
157,University of Liverpool,18815,13.6,0.3,52,52.2,32.8,30.9,85.9,36.6,85.4,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
158,TU Dresden,35487,37.4,0.12,42,52.1,41.4,45.8,66.1,99.7,47.7,large,Germany,Europe,0.0,2.0,118.0,2.0
158,University of Rochester,9390,4.5,0.26,49,52.1,39.7,27.9,89.0,37.0,55.8,medium,United States,North America,1.0,1.0,172.0,3.0
161,Lomonosov Moscow State University,30822,7.7,0.2,43,51.9,75.4,66.7,8.6,95.7,57.8,large,Russian Federation,Europe,0.0,2.0,139.0,2.0
161,University of Miami,15286,5.7,0.14,50,51.9,41.7,22.3,90.1,35.5,64.0,large,United States,North America,1.0,2.0,172.0,3.0
163,University of Arizona,36429,12.7,0.08,52,51.7,38.7,41.8,79.5,32.4,38.6,large,United States,North America,1.0,2.0,172.0,3.0
164,Pompeu Fabra University,10901,18.3,0.13,59,51.2,32.9,28.0,90.7,37.2,63.3,medium,Spain,Europe,0.0,1.0,144.0,2.0
164,University of Reading,12050,14.8,0.28,55,51.2,39.3,37.3,69.9,34.2,85.1,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
164,Yeshiva University,6753,5.5,0.07,53,51.2,44.8,23.7,92.8,47.0,28.5,medium,United States,North America,1.0,1.0,172.0,3.0
167,University of California,20626,22.0,0.12,51,51.1,27.5,33.3,91.2,42.5,59.5,large,United States,North America,1.0,2.0,172.0,3.0
167,University of Leicester,14541,13.4,0.35,54,51.1,32.1,27.8,86.0,31.7,86.6,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
167,National Taiwan University,31891,11.9,0.07,39,51.1,54.1,58.0,47.3,49.6,27.7,large,Taiwan,Asia,0.0,2.0,91.0,1.0
167,Technical University of Denmark,9990,5.0,0.18,27,51.1,37.3,29.9,77.8,50.0,85.1,medium,Denmark,Europe,0.0,1.0,113.0,2.0
167,Université Catholique de Louvain,28856,42.0,0.19,54,51.1,38.7,40.6,68.4,51.0,74.2,large,Belgium,Europe,0.0,2.0,106.0,2.0
172,University of Aberdeen,12938,15.8,0.33,54,51.0,29.7,31.4,82.6,43.1,91.4,medium,United Kingdom,Europe,1.0,1.0,148.0,2.0
172,University of Auckland,29787,18.9,0.28,54,51.0,31.4,39.5,69.8,78.0,90.5,large,New Zealand,Oceania,1.0,2.0,179.0,4.0
174,University of Barcelona,47491,12.2,0.1,62,50.9,38.5,37.4,78.9,31.1,49.2,large,Spain,Europe,0.0,2.0,144.0,2.0
175,University of Konstanz,10930,59.1,0.12,54,50.8,38.5,46.7,61.9,92.4,58.3,medium,Germany,Europe,0.0,1.0,118.0,2.0
176,Eindhoven University of Technology,8176,16.0,0.14,19,50.6,34.3,41.0,70.7,57.3,71.3,medium,Netherlands,Europe,0.0,1.0,133.0,2.0
176,University College Dublin,22193,24.5,0.23,49,50.6,35.0,38.5,70.8,33.5,86.3,large,Ireland,Europe,1.0,2.0,122.0,2.0
178,Hebrew University of Jerusalem,17612,10.7,0.05,55,50.5,45.8,41.4,64.6,31.9,55.6,large,Israel,Asia,0.0,2.0,68.0,1.0
179,University of Waterloo,30726,24.2,0.14,45,50.3,35.4,43.9,66.5,39.5,74.4,large,Canada,North America,1.0,2.0,154.0,3.0
180,University of Gothenburg,26420,16.4,0.12,49,50.2,28.5,39.8,81.8,30.3,58.3,large,Sweden,Europe,0.0,2.0,145.0,2.0
180,Scuola Superiore Sant’Anna,769,8.5,0.17,35,50.2,42.5,23.2,84.5,71.2,45.2,small,Italy,Europe,0.0,0.0,123.0,2.0
182,University of Bergen,11623,11.1,0.12,60,50.1,32.5,31.5,82.4,36.2,70.0,medium,Norway,Europe,0.0,1.0,135.0,2.0
182,Cardiff University,23347,13.1,0.23,57,50.1,30.9,31.6,82.0,34.6,78.1,large,United Kingdom,Europe,1.0,2.0,148.0,2.0
